Date,Year,Quarter,Month Number,Month,Month Year,Year Month,Week,Weekday Number,Weekday,Day
2023-01-01,2023,Q1,1,Jan,Jan 2023,2023-01,52,7,Sun,1
2023-01-02,2023,Q1,1,Jan,Jan 2023,2023-01,1,1,Mon,2
2023-01-03,2023,Q1,1,Jan,Jan 2023,2023-01,1,2,Tue,3
2023-01-04,2023,Q1,1,Jan,Jan 2023,2023-01,1,3,Wed,4
2023-01-05,2023,Q1,1,Jan,Jan 2023,2023-01,1,4,Thu,5
2023-01-06,2023,Q1,1,Jan,Jan 2023,2023-01,1,5,Fri,6
2023-01-07,2023,Q1,1,Jan,Jan 2023,2023-01,1,6,Sat,7
2023-01-08,2023,Q1,1,Jan,Jan 2023,2023-01,1,7,Sun,8
2023-01-09,2023,Q1,1,Jan,Jan 2023,2023-01,2,1,Mon,9
2023-01-10,2023,Q1,1,Jan,Jan 2023,2023-01,2,2,Tue,10
2023-01-11,2023,Q1,1,Jan,Jan 2023,2023-01,2,3,Wed,11
2023-01-12,2023,Q1,1,Jan,Jan 2023,2023-01,2,4,Thu,12
2023-01-13,2023,Q1,1,Jan,Jan 2023,2023-01,2,5,Fri,13
2023-01-14,2023,Q1,1,Jan,Jan 2023,2023-01,2,6,Sat,14
2023-01-15,2023,Q1,1,Jan,Jan 2023,2023-01,2,7,Sun,15
2023-01-16,2023,Q1,1,Jan,Jan 2023,2023-01,3,1,Mon,16
2023-01-17,2023,Q1,1,Jan,Jan 2023,2023-01,3,2,Tue,17
2023-01-18,2023,Q1,1,Jan,Jan 2023,2023-01,3,3,Wed,18
2023-01-19,2023,Q1,1,Jan,Jan 2023,2023-01,3,4,Thu,19
2023-01-20,2023,Q1,1,Jan,Jan 2023,2023-01,3,5,Fri,20
2023-01-21,2023,Q1,1,Jan,Jan 2023,2023-01,3,6,Sat,21
2023-01-22,2023,Q1,1,Jan,Jan 2023,2023-01,3,7,Sun,22
2023-01-23,2023,Q1,1,Jan,Jan 2023,2023-01,4,1,Mon,23
2023-01-24,2023,Q1,1,Jan,Jan 2023,2023-01,4,2,Tue,24
2023-01-25,2023,Q1,1,Jan,Jan 2023,2023-01,4,3,Wed,25
2023-01-26,2023,Q1,1,Jan,Jan 2023,2023-01,4,4,Thu,26
2023-01-27,2023,Q1,1,Jan,Jan 2023,2023-01,4,5,Fri,27
2023-01-28,2023,Q1,1,Jan,Jan 2023,2023-01,4,6,Sat,28
2023-01-29,2023,Q1,1,Jan,Jan 2023,2023-01,4,7,Sun,29
2023-01-30,2023,Q1,1,Jan,Jan 2023,2023-01,5,1,Mon,30
2023-01-31,2023,Q1,1,Jan,Jan 2023,2023-01,5,2,Tue,31
2023-02-01,2023,Q1,2,Feb,Feb 2023,2023-02,5,3,Wed,1
2023-02-02,2023,Q1,2,Feb,Feb 2023,2023-02,5,4,Thu,2
2023-02-03,2023,Q1,2,Feb,Feb 2023,2023-02,5,5,Fri,3
2023-02-04,2023,Q1,2,Feb,Feb 2023,2023-02,5,6,Sat,4
2023-02-05,2023,Q1,2,Feb,Feb 2023,2023-02,5,7,Sun,5
2023-02-06,2023,Q1,2,Feb,Feb 2023,2023-02,6,1,Mon,6
2023-02-07,2023,Q1,2,Feb,Feb 2023,2023-02,6,2,Tue,7
2023-02-08,2023,Q1,2,Feb,Feb 2023,2023-02,6,3,Wed,8
2023-02-09,2023,Q1,2,Feb,Feb 2023,2023-02,6,4,Thu,9
2023-02-10,2023,Q1,2,Feb,Feb 2023,2023-02,6,5,Fri,10
2023-02-11,2023,Q1,2,Feb,Feb 2023,2023-02,6,6,Sat,11
2023-02-12,2023,Q1,2,Feb,Feb 2023,2023-02,6,7,Sun,12
2023-02-13,2023,Q1,2,Feb,Feb 2023,2023-02,7,1,Mon,13
2023-02-14,2023,Q1,2,Feb,Feb 2023,2023-02,7,2,Tue,14
2023-02-15,2023,Q1,2,Feb,Feb 2023,2023-02,7,3,Wed,15
2023-02-16,2023,Q1,2,Feb,Feb 2023,2023-02,7,4,Thu,16
2023-02-17,2023,Q1,2,Feb,Feb 2023,2023-02,7,5,Fri,17
2023-02-18,2023,Q1,2,Feb,Feb 2023,2023-02,7,6,Sat,18
2023-02-19,2023,Q1,2,Feb,Feb 2023,2023-02,7,7,Sun,19
2023-02-20,2023,Q1,2,Feb,Feb 2023,2023-02,8,1,Mon,20
2023-02-21,2023,Q1,2,Feb,Feb 2023,2023-02,8,2,Tue,21
2023-02-22,2023,Q1,2,Feb,Feb 2023,2023-02,8,3,Wed,22
2023-02-23,2023,Q1,2,Feb,Feb 2023,2023-02,8,4,Thu,23
2023-02-24,2023,Q1,2,Feb,Feb 2023,2023-02,8,5,Fri,24
2023-02-25,2023,Q1,2,Feb,Feb 2023,2023-02,8,6,Sat,25
2023-02-26,2023,Q1,2,Feb,Feb 2023,2023-02,8,7,Sun,26
2023-02-27,2023,Q1,2,Feb,Feb 2023,2023-02,9,1,Mon,27
2023-02-28,2023,Q1,2,Feb,Feb 2023,2023-02,9,2,Tue,28
2023-03-01,2023,Q1,3,Mar,Mar 2023,2023-03,9,3,Wed,1
2023-03-02,2023,Q1,3,Mar,Mar 2023,2023-03,9,4,Thu,2
2023-03-03,2023,Q1,3,Mar,Mar 2023,2023-03,9,5,Fri,3
2023-03-04,2023,Q1,3,Mar,Mar 2023,2023-03,9,6,Sat,4
2023-03-05,2023,Q1,3,Mar,Mar 2023,2023-03,9,7,Sun,5
2023-03-06,2023,Q1,3,Mar,Mar 2023,2023-03,10,1,Mon,6
2023-03-07,2023,Q1,3,Mar,Mar 2023,2023-03,10,2,Tue,7
2023-03-08,2023,Q1,3,Mar,Mar 2023,2023-03,10,3,Wed,8
2023-03-09,2023,Q1,3,Mar,Mar 2023,2023-03,10,4,Thu,9
2023-03-10,2023,Q1,3,Mar,Mar 2023,2023-03,10,5,Fri,10
2023-03-11,2023,Q1,3,Mar,Mar 2023,2023-03,10,6,Sat,11
2023-03-12,2023,Q1,3,Mar,Mar 2023,2023-03,10,7,Sun,12
2023-03-13,2023,Q1,3,Mar,Mar 2023,2023-03,11,1,Mon,13
2023-03-14,2023,Q1,3,Mar,Mar 2023,2023-03,11,2,Tue,14
2023-03-15,2023,Q1,3,Mar,Mar 2023,2023-03,11,3,Wed,15
2023-03-16,2023,Q1,3,Mar,Mar 2023,2023-03,11,4,Thu,16
2023-03-17,2023,Q1,3,Mar,Mar 2023,2023-03,11,5,Fri,17
2023-03-18,2023,Q1,3,Mar,Mar 2023,2023-03,11,6,Sat,18
2023-03-19,2023,Q1,3,Mar,Mar 2023,2023-03,11,7,Sun,19
2023-03-20,2023,Q1,3,Mar,Mar 2023,2023-03,12,1,Mon,20
2023-03-21,2023,Q1,3,Mar,Mar 2023,2023-03,12,2,Tue,21
2023-03-22,2023,Q1,3,Mar,Mar 2023,2023-03,12,3,Wed,22
2023-03-23,2023,Q1,3,Mar,Mar 2023,2023-03,12,4,Thu,23
2023-03-24,2023,Q1,3,Mar,Mar 2023,2023-03,12,5,Fri,24
2023-03-25,2023,Q1,3,Mar,Mar 2023,2023-03,12,6,Sat,25
2023-03-26,2023,Q1,3,Mar,Mar 2023,2023-03,12,7,Sun,26
2023-03-27,2023,Q1,3,Mar,Mar 2023,2023-03,13,1,Mon,27
2023-03-28,2023,Q1,3,Mar,Mar 2023,2023-03,13,2,Tue,28
2023-03-29,2023,Q1,3,Mar,Mar 2023,2023-03,13,3,Wed,29
2023-03-30,2023,Q1,3,Mar,Mar 2023,2023-03,13,4,Thu,30
2023-03-31,2023,Q1,3,Mar,Mar 2023,2023-03,13,5,Fri,31
2023-04-01,2023,Q2,4,Apr,Apr 2023,2023-04,13,6,Sat,1
2023-04-02,2023,Q2,4,Apr,Apr 2023,2023-04,13,7,Sun,2
2023-04-03,2023,Q2,4,Apr,Apr 2023,2023-04,14,1,Mon,3
2023-04-04,2023,Q2,4,Apr,Apr 2023,2023-04,14,2,Tue,4
2023-04-05,2023,Q2,4,Apr,Apr 2023,2023-04,14,3,Wed,5
2023-04-06,2023,Q2,4,Apr,Apr 2023,2023-04,14,4,Thu,6
2023-04-07,2023,Q2,4,Apr,Apr 2023,2023-04,14,5,Fri,7
2023-04-08,2023,Q2,4,Apr,Apr 2023,2023-04,14,6,Sat,8
2023-04-09,2023,Q2,4,Apr,Apr 2023,2023-04,14,7,Sun,9
2023-04-10,2023,Q2,4,Apr,Apr 2023,2023-04,15,1,Mon,10
2023-04-11,2023,Q2,4,Apr,Apr 2023,2023-04,15,2,Tue,11
2023-04-12,2023,Q2,4,Apr,Apr 2023,2023-04,15,3,Wed,12
2023-04-13,2023,Q2,4,Apr,Apr 2023,2023-04,15,4,Thu,13
2023-04-14,2023,Q2,4,Apr,Apr 2023,2023-04,15,5,Fri,14
2023-04-15,2023,Q2,4,Apr,Apr 2023,2023-04,15,6,Sat,15
2023-04-16,2023,Q2,4,Apr,Apr 2023,2023-04,15,7,Sun,16
2023-04-17,2023,Q2,4,Apr,Apr 2023,2023-04,16,1,Mon,17
2023-04-18,2023,Q2,4,Apr,Apr 2023,2023-04,16,2,Tue,18
2023-04-19,2023,Q2,4,Apr,Apr 2023,2023-04,16,3,Wed,19
2023-04-20,2023,Q2,4,Apr,Apr 2023,2023-04,16,4,Thu,20
2023-04-21,2023,Q2,4,Apr,Apr 2023,2023-04,16,5,Fri,21
2023-04-22,2023,Q2,4,Apr,Apr 2023,2023-04,16,6,Sat,22
2023-04-23,2023,Q2,4,Apr,Apr 2023,2023-04,16,7,Sun,23
2023-04-24,2023,Q2,4,Apr,Apr 2023,2023-04,17,1,Mon,24
2023-04-25,2023,Q2,4,Apr,Apr 2023,2023-04,17,2,Tue,25
2023-04-26,2023,Q2,4,Apr,Apr 2023,2023-04,17,3,Wed,26
2023-04-27,2023,Q2,4,Apr,Apr 2023,2023-04,17,4,Thu,27
2023-04-28,2023,Q2,4,Apr,Apr 2023,2023-04,17,5,Fri,28
2023-04-29,2023,Q2,4,Apr,Apr 2023,2023-04,17,6,Sat,29
2023-04-30,2023,Q2,4,Apr,Apr 2023,2023-04,17,7,Sun,30
2023-05-01,2023,Q2,5,May,May 2023,2023-05,18,1,Mon,1
2023-05-02,2023,Q2,5,May,May 2023,2023-05,18,2,Tue,2
2023-05-03,2023,Q2,5,May,May 2023,2023-05,18,3,Wed,3
2023-05-04,2023,Q2,5,May,May 2023,2023-05,18,4,Thu,4
2023-05-05,2023,Q2,5,May,May 2023,2023-05,18,5,Fri,5
2023-05-06,2023,Q2,5,May,May 2023,2023-05,18,6,Sat,6
2023-05-07,2023,Q2,5,May,May 2023,2023-05,18,7,Sun,7
2023-05-08,2023,Q2,5,May,May 2023,2023-05,19,1,Mon,8
2023-05-09,2023,Q2,5,May,May 2023,2023-05,19,2,Tue,9
2023-05-10,2023,Q2,5,May,May 2023,2023-05,19,3,Wed,10
2023-05-11,2023,Q2,5,May,May 2023,2023-05,19,4,Thu,11
2023-05-12,2023,Q2,5,May,May 2023,2023-05,19,5,Fri,12
2023-05-13,2023,Q2,5,May,May 2023,2023-05,19,6,Sat,13
2023-05-14,2023,Q2,5,May,May 2023,2023-05,19,7,Sun,14
2023-05-15,2023,Q2,5,May,May 2023,2023-05,20,1,Mon,15
2023-05-16,2023,Q2,5,May,May 2023,2023-05,20,2,Tue,16
2023-05-17,2023,Q2,5,May,May 2023,2023-05,20,3,Wed,17
2023-05-18,2023,Q2,5,May,May 2023,2023-05,20,4,Thu,18
2023-05-19,2023,Q2,5,May,May 2023,2023-05,20,5,Fri,19
2023-05-20,2023,Q2,5,May,May 2023,2023-05,20,6,Sat,20
